doctor_amka,doctor_name,doctor_speciality,doctor_rank,hierarchy_level,supervisor_amka,supervisor_name,supervisor_speciality,supervisor_rank
50640200729,"Amelia Taylor",Gastroenterology,"Attending B",1,97846728339,"Callie Torres",Gastroenterology,Director
70000110002,"Amelia Yang","Obstetrics and Gynecology",Resident,1,62878418842,"Cormac Hayes","Obstetrics and Gynecology","Attending A"
70000110002,"Amelia Yang","Obstetrics and Gynecology",Resident,2,24330564473,"George O'Malley",Orthopedics,Director
76612908200,"Andrew DeLuca",Orthopedics,"Attending A",1,54764787985,"Alex Karev",Oncology,Director
70000102003,"Andrew Grey",Cardiology,Resident,1,20932266036,"Cristina Yang",Cardiology,Director
70000111010,"Andrew Shepherd",Psychiatry,"Attending A",1,14593704402,"Mark Sloan",Psychiatry,Director
70000109003,"Andrew Yang",Radiology,Resident,1,84987658854,"Preston Burke",Radiology,Director
70000101014,"April Grey","Emergency Medicine","Attending A",1,47544673531,"Meredith Grey","Emergency Medicine",Director
40305022733,"April Kepner","Intensive Care","Attending A",1,14593704402,"Mark Sloan",Psychiatry,Director
70000101011,"Arizona Grey","Emergency Medicine","Attending B",1,34169696708,"Carina DeLuca","Emergency Medicine","Attending A"
70000101011,"Arizona Grey","Emergency Medicine","Attending B",2,37295679827,"Arizona Robbins",Pulmonology,Director
70000112008,"Arizona Shepherd",Nephrology,"Attending B",1,78086460793,"Logan Martin",Nephrology,"Attending A"
70000112008,"Arizona Shepherd",Nephrology,"Attending B",2,43738332710,"Lexie Grey",Nephrology,Director
70000102010,"Atticus Grey",Cardiology,"Attending A",1,20932266036,"Cristina Yang",Cardiology,Director
82681300933,"Atticus Lincoln","General Surgery","Attending A",1,54764787985,"Alex Karev",Oncology,Director
70000112004,"Atticus Shepherd",Nephrology,Resident,1,78086460793,"Logan Martin",Nephrology,"Attending A"
70000112004,"Atticus Shepherd",Nephrology,Resident,2,43738332710,"Lexie Grey",Nephrology,Director
70000109006,"Atticus Yang",Radiology,"Attending B",1,68345352569,"Jo Wilson",Radiology,"Attending A"
70000109006,"Atticus Yang",Radiology,"Attending B",2,84987658854,"Preston Burke",Radiology,Director
70000102008,"Ben Grey",Cardiology,"Attending B",1,42797487947,"Samira Johnson",Cardiology,"Attending A"
70000102008,"Ben Grey",Cardiology,"Attending B",2,20932266036,"Cristina Yang",Cardiology,Director
70000113010,"Ben Shepherd",Gastroenterology,"Attending A",1,97846728339,"Callie Torres",Gastroenterology,Director
79486780724,"Ben Warren",Orthopedics,"Attending A",1,36172221786,"Derek Shepherd","General Surgery",Director
70000107006,"Ben Yang",Orthopedics,"Attending B",1,79486780724,"Ben Warren",Orthopedics,"Attending A"
70000107006,"Ben Yang",Orthopedics,"Attending B",2,36172221786,"Derek Shepherd","General Surgery",Director
70000106005,"Benjamin Grey",Oncology,Resident,1,54764787985,"Alex Karev",Oncology,Director
70000113001,"Benjamin Shepherd",Gastroenterology,Resident,1,76816215578,"Henry Brown",Gastroenterology,"Attending A"
70000113001,"Benjamin Shepherd",Gastroenterology,Resident,2,97846728339,"Callie Torres",Gastroenterology,Director
70000108004,"Benjamin Yang",Neurology,Resident,1,25980378553,"Leah Murphy",Neurology,"Attending A"
70000108004,"Benjamin Yang",Neurology,Resident,2,84987658854,"Preston Burke",Radiology,Director
70000103007,"Benson Grey","General Surgery","Attending B",1,82681300933,"Atticus Lincoln","General Surgery","Attending A"
70000103007,"Benson Grey","General Surgery","Attending B",2,54764787985,"Alex Karev",Oncology,Director
71895212988,"Benson Kwan",Psychiatry,"Attending B",1,24330564473,"George O'Malley",Orthopedics,Director
70000107008,"Benson Yang",Orthopedics,"Attending B",1,76612908200,"Andrew DeLuca",Orthopedics,"Attending A"
70000107008,"Benson Yang",Orthopedics,"Attending B",2,54764787985,"Alex Karev",Oncology,Director
70000113008,"Callie Bailey",Gastroenterology,"Attending B",1,36054081665,"Jackson Avery",Gastroenterology,"Attending A"
70000113008,"Callie Bailey",Gastroenterology,"Attending B",2,54764787985,"Alex Karev",Oncology,Director
70000106013,"Callie Yang",Oncology,"Attending A",1,54764787985,"Alex Karev",Oncology,Director
34169696708,"Carina DeLuca","Emergency Medicine","Attending A",1,37295679827,"Arizona Robbins",Pulmonology,Director
70000102004,"Carina Grey",Cardiology,Resident,1,20932266036,"Cristina Yang",Cardiology,Director
70000112011,"Carina Yang",Nephrology,"Attending A",1,43738332710,"Lexie Grey",Nephrology,Director
70000104004,"Casey Grey","Intensive Care","Attending B",1,86281205445,"Levi Schmitt","Intensive Care","Attending A"
70000104004,"Casey Grey","Intensive Care","Attending B",2,34202047459,"Owen Hunt",Endocrinology,Director
41414180506,"Casey Parker",Oncology,"Attending B",1,34202047459,"Owen Hunt",Endocrinology,Director
80767267818,"Catherine Fox",Oncology,"Attending B",1,47544673531,"Meredith Grey","Emergency Medicine",Director
70000101010,"Catherine Grey","Emergency Medicine","Attending B",1,34169696708,"Carina DeLuca","Emergency Medicine","Attending A"
70000101010,"Catherine Grey","Emergency Medicine","Attending B",2,37295679827,"Arizona Robbins",Pulmonology,Director
70000115000,"Catherine Shepherd",Endocrinology,Resident,1,28317520862,"Maggie Pierce",Endocrinology,"Attending A"
70000115000,"Catherine Shepherd",Endocrinology,Resident,2,14593704402,"Mark Sloan",Psychiatry,Director
70000103010,"Charles Grey","General Surgery","Attending A",1,36172221786,"Derek Shepherd","General Surgery",Director
96116621144,"Charles Percy",Pulmonology,"Attending B",1,37295679827,"Arizona Robbins",Pulmonology,Director
70000114012,"Charles Shepherd",Pulmonology,"Attending A",1,37295679827,"Arizona Robbins",Pulmonology,Director
70000108008,"Charles Yang",Neurology,"Attending B",1,25980378553,"Leah Murphy",Neurology,"Attending A"
70000108008,"Charles Yang",Neurology,"Attending B",2,84987658854,"Preston Burke",Radiology,Director
70000105008,"Chi Grey",Pediatrics,"Attending B",1,13733616459,"Richard Webber",Pediatrics,Director
43807075019,"Chi Park",Endocrinology,Resident,1,52119777069,"Tom Koracick","Obstetrics and Gynecology","Attending A"
43807075019,"Chi Park",Endocrinology,Resident,2,54764787985,"Alex Karev",Oncology,Director
70000107007,"Chi Yang",Orthopedics,"Attending B",1,79486780724,"Ben Warren",Orthopedics,"Attending A"
70000107007,"Chi Yang",Orthopedics,"Attending B",2,36172221786,"Derek Shepherd","General Surgery",Director
70000114011,"Chris Shepherd",Pulmonology,"Attending A",1,37295679827,"Arizona Robbins",Pulmonology,Director
37306582726,"Chris Taub",Orthopedics,Resident,1,84987658854,"Preston Burke",Radiology,Director
70000110004,"Chris Yang","Obstetrics and Gynecology","Attending B",1,77239597077,"Amelia Shepherd","Obstetrics and Gynecology","Attending A"
70000110004,"Chris Yang","Obstetrics and Gynecology","Attending B",2,34202047459,"Owen Hunt",Endocrinology,Director
70000115006,"Cormac Bailey",Endocrinology,"Attending B",1,28317520862,"Maggie Pierce",Endocrinology,"Attending A"
70000115006,"Cormac Bailey",Endocrinology,"Attending B",2,14593704402,"Mark Sloan",Psychiatry,Director
70000103000,"Cormac Grey","General Surgery",Resident,1,83427210938,"Liam Anderson","General Surgery","Attending A"
70000103000,"Cormac Grey","General Surgery",Resident,2,36172221786,"Derek Shepherd","General Surgery",Director
62878418842,"Cormac Hayes","Obstetrics and Gynecology","Attending A",1,24330564473,"George O'Malley",Orthopedics,Director
70000112012,"Cormac Shepherd",Nephrology,"Attending A",1,43738332710,"Lexie Grey",Nephrology,Director
70000107001,"Cormac Yang",Orthopedics,Resident,1,24330564473,"George O'Malley",Orthopedics,Director
70000101000,"Cristina Grey","Emergency Medicine",Resident,1,34169696708,"Carina DeLuca","Emergency Medicine","Attending A"
70000101000,"Cristina Grey","Emergency Medicine",Resident,2,37295679827,"Arizona Robbins",Pulmonology,Director
70000112000,"Cristina Shepherd",Nephrology,Resident,1,43738332710,"Lexie Grey",Nephrology,Director
70000104005,"Dahlia Grey","Intensive Care","Attending B",1,86281205445,"Levi Schmitt","Intensive Care","Attending A"
70000104005,"Dahlia Grey","Intensive Care","Attending B",2,34202047459,"Owen Hunt",Endocrinology,Director
10311570307,"Dahlia Qadri","General Surgery","Attending B",1,14593704402,"Mark Sloan",Psychiatry,Director
70000101001,"Derek Grey","Emergency Medicine",Resident,1,34169696708,"Carina DeLuca","Emergency Medicine","Attending A"
70000101001,"Derek Grey","Emergency Medicine",Resident,2,37295679827,"Arizona Robbins",Pulmonology,Director
70000107002,"Derek Yang",Orthopedics,Resident,1,24330564473,"George O'Malley",Orthopedics,Director
66737302593,"Diane Grad",Orthopedics,Resident,1,47544673531,"Meredith Grey","Emergency Medicine",Director
70000103009,"Diane Grey","General Surgery","Attending B",1,45068953259,"Taryn Helm","General Surgery","Attending A"
70000103009,"Diane Grey","General Surgery","Attending B",2,14593704402,"Mark Sloan",Psychiatry,Director
70000115010,"Diane Shepherd",Endocrinology,"Attending A",1,34202047459,"Owen Hunt",Endocrinology,Director
70000111001,"Diane Yang",Psychiatry,Resident,1,72352513460,"Winston Ndugu",Psychiatry,"Attending A"
70000111001,"Diane Yang",Psychiatry,Resident,2,54764787985,"Alex Karev",Oncology,Director
70000106009,"Elijah Grey",Oncology,"Attending B",1,54764787985,"Alex Karev",Oncology,Director
70000114004,"Elijah Shepherd",Pulmonology,Resident,1,81463743911,"Nathan Riggs",Pulmonology,"Attending A"
70000114004,"Elijah Shepherd",Pulmonology,Resident,2,14593704402,"Mark Sloan",Psychiatry,Director
70000110010,"Elijah Yang","Obstetrics and Gynecology","Attending A",1,51025702129,"Addison Montgomery","Obstetrics and Gynecology",Director
70000104000,"Eliza Grey","Intensive Care",Resident,1,68175080694,"Miranda Bailey","Intensive Care",Director
86174411141,"Eliza Minnick",Pediatrics,"Attending B",1,68175080694,"Miranda Bailey","Intensive Care",Director
70000108009,"Eliza Yang",Neurology,"Attending B",1,25980378553,"Leah Murphy",Neurology,"Attending A"
70000108009,"Eliza Yang",Neurology,"Attending B",2,84987658854,"Preston Burke",Radiology,Director
70000106006,"Ella Grey",Oncology,"Attending B",1,54764787985,"Alex Karev",Oncology,Director
70000115005,"Ella Shepherd",Endocrinology,"Attending B",1,28317520862,"Maggie Pierce",Endocrinology,"Attending A"
70000115005,"Ella Shepherd",Endocrinology,"Attending B",2,14593704402,"Mark Sloan",Psychiatry,Director
70000111004,"Ella Yang",Psychiatry,"Attending B",1,72352513460,"Winston Ndugu",Psychiatry,"Attending A"
70000111004,"Ella Yang",Psychiatry,"Attending B",2,54764787985,"Alex Karev",Oncology,Director
29106649725,"Ellis Grey","Intensive Care","Attending B",1,68175080694,"Miranda Bailey","Intensive Care",Director
70000110006,"Ellis Yang","Obstetrics and Gynecology","Attending B",1,77239597077,"Amelia Shepherd","Obstetrics and Gynecology","Attending A"
70000110006,"Ellis Yang","Obstetrics and Gynecology","Attending B",2,34202047459,"Owen Hunt",Endocrinology,Director
70000108012,"Emma Yang",Neurology,"Attending A",1,60884600851,"Izzie Stevens",Neurology,Director
96461212064,"Eric Foreman",Pulmonology,"Attending A",1,36054081665,"Jackson Avery",Gastroenterology,"Attending A"
96461212064,"Eric Foreman",Pulmonology,"Attending A",2,54764787985,"Alex Karev",Oncology,Director
70000105001,"Eric Grey",Pediatrics,Resident,1,13733616459,"Richard Webber",Pediatrics,Director
70000113003,"Eric Shepherd",Gastroenterology,Resident,1,76816215578,"Henry Brown",Gastroenterology,"Attending A"
70000113003,"Eric Shepherd",Gastroenterology,Resident,2,97846728339,"Callie Torres",Gastroenterology,Director
70000114013,"Erica Bailey",Pulmonology,"Attending A",1,37295679827,"Arizona Robbins",Pulmonology,Director
70000103008,"Erica Grey","General Surgery","Attending B",1,45068953259,"Taryn Helm","General Surgery","Attending A"
70000103008,"Erica Grey","General Surgery","Attending B",2,14593704402,"Mark Sloan",Psychiatry,Director
26585757278,"Erica Hahn","Emergency Medicine","Attending B",1,14593704402,"Mark Sloan",Psychiatry,Director
70000114007,"Erica Shepherd",Pulmonology,"Attending B",1,81463743911,"Nathan Riggs",Pulmonology,"Attending A"
70000114007,"Erica Shepherd",Pulmonology,"Attending B",2,14593704402,"Mark Sloan",Psychiatry,Director
70000110005,"Erica Yang","Obstetrics and Gynecology","Attending B",1,62878418842,"Cormac Hayes","Obstetrics and Gynecology","Attending A"
70000110005,"Erica Yang","Obstetrics and Gynecology","Attending B",2,24330564473,"George O'Malley",Orthopedics,Director
79637317274,"Evan Greer","Obstetrics and Gynecology",Resident,1,68345352569,"Jo Wilson",Radiology,"Attending A"
79637317274,"Evan Greer","Obstetrics and Gynecology",Resident,2,84987658854,"Preston Burke",Radiology,Director
70000114000,"Evan Shepherd",Pulmonology,Resident,1,81463743911,"Nathan Riggs",Pulmonology,"Attending A"
70000114000,"Evan Shepherd",Pulmonology,Resident,2,14593704402,"Mark Sloan",Psychiatry,Director
70000111002,"Evan Yang",Psychiatry,Resident,1,72352513460,"Winston Ndugu",Psychiatry,"Attending A"
70000111002,"Evan Yang",Psychiatry,Resident,2,54764787985,"Alex Karev",Oncology,Director
70000101005,"George Grey","Emergency Medicine",Resident,1,34169696708,"Carina DeLuca","Emergency Medicine","Attending A"
70000101005,"George Grey","Emergency Medicine",Resident,2,37295679827,"Arizona Robbins",Pulmonology,Director
70000108001,"George Yang",Neurology,Resident,1,60884600851,"Izzie Stevens",Neurology,Director
70000106007,"Grace Grey",Oncology,"Attending B",1,54764787985,"Alex Karev",Oncology,Director
70000111003,"Grace Shepherd",Psychiatry,Resident,1,14593704402,"Mark Sloan",Psychiatry,Director
70000108005,"Grace Yang",Neurology,Resident,1,60884600851,"Izzie Stevens",Neurology,Director
70000104010,"Gregory Grey","Intensive Care","Attending A",1,68175080694,"Miranda Bailey","Intensive Care",Director
29555946647,"Gregory House",Cardiology,"Attending B",1,34202047459,"Owen Hunt",Endocrinology,Director
70000112003,"Gregory Shepherd",Nephrology,Resident,1,43738332710,"Lexie Grey",Nephrology,Director
70000110000,"Gregory Yang","Obstetrics and Gynecology",Resident,1,51025702129,"Addison Montgomery","Obstetrics and Gynecology",Director
70000114009,"Henry Bailey",Pulmonology,"Attending B",1,81463743911,"Nathan Riggs",Pulmonology,"Attending A"
70000114009,"Henry Bailey",Pulmonology,"Attending B",2,14593704402,"Mark Sloan",Psychiatry,Director
76816215578,"Henry Brown",Gastroenterology,"Attending A",1,97846728339,"Callie Torres",Gastroenterology,Director
91172754729,"Henry Dobson",Oncology,"Attending A",1,81463743911,"Nathan Riggs",Pulmonology,"Attending A"
91172754729,"Henry Dobson",Oncology,"Attending A",2,14593704402,"Mark Sloan",Psychiatry,Director
70000105012,"Henry Grey",Pediatrics,"Attending A",1,13733616459,"Richard Webber",Pediatrics,Director
70000114008,"Henry Shepherd",Pulmonology,"Attending B",1,81463743911,"Nathan Riggs",Pulmonology,"Attending A"
70000114008,"Henry Shepherd",Pulmonology,"Attending B",2,14593704402,"Mark Sloan",Psychiatry,Director
70000109008,"Henry Yang",Radiology,"Attending B",1,55702582931,"Shane Ross",Radiology,"Attending A"
70000109008,"Henry Yang",Radiology,"Attending B",2,97846728339,"Callie Torres",Gastroenterology,Director
70000101006,"Izzie Grey","Emergency Medicine",Resident,1,34169696708,"Carina DeLuca","Emergency Medicine","Attending A"
70000101006,"Izzie Grey","Emergency Medicine",Resident,2,37295679827,"Arizona Robbins",Pulmonology,Director
70000111008,"Izzie Shepherd",Psychiatry,"Attending B",1,72352513460,"Winston Ndugu",Psychiatry,"Attending A"
70000111008,"Izzie Shepherd",Psychiatry,"Attending B",2,54764787985,"Alex Karev",Oncology,Director
36054081665,"Jackson Avery",Gastroenterology,"Attending A",1,54764787985,"Alex Karev",Oncology,Director
70000115003,"Jackson Bailey",Endocrinology,Resident,1,34202047459,"Owen Hunt",Endocrinology,Director
70000109001,"Jackson Yang",Radiology,Resident,1,84987658854,"Preston Burke",Radiology,Director
98852123602,"James Wilson","Obstetrics and Gynecology","Attending B",1,68175080694,"Miranda Bailey","Intensive Care",Director
48527577250,"Jeffrey Cole",Radiology,Resident,1,55702582931,"Shane Ross",Radiology,"Attending A"
48527577250,"Jeffrey Cole",Radiology,Resident,2,97846728339,"Callie Torres",Gastroenterology,Director
70000105010,"Jeffrey Grey",Pediatrics,"Attending B",1,13733616459,"Richard Webber",Pediatrics,Director
70000108013,"Jeffrey Yang",Neurology,"Attending A",1,60884600851,"Izzie Stevens",Neurology,Director
42086369317,"Jessica Adams",Nephrology,Resident,1,24330564473,"George O'Malley",Orthopedics,Director
70000105007,"Jessica Grey",Pediatrics,"Attending B",1,13733616459,"Richard Webber",Pediatrics,Director
70000102002,"Jo Grey",Cardiology,Resident,1,20932266036,"Cristina Yang",Cardiology,Director
68345352569,"Jo Wilson",Radiology,"Attending A",1,84987658854,"Preston Burke",Radiology,Director
70000107005,"Jo Yang",Orthopedics,"Attending B",1,79486780724,"Ben Warren",Orthopedics,"Attending A"
70000107005,"Jo Yang",Orthopedics,"Attending B",2,36172221786,"Derek Shepherd","General Surgery",Director
56904353669,"Jody Desai",Oncology,"Attending A",1,81463743911,"Nathan Riggs",Pulmonology,"Attending A"
56904353669,"Jody Desai",Oncology,"Attending A",2,14593704402,"Mark Sloan",Psychiatry,Director
70000115007,"Jody Shepherd",Endocrinology,"Attending B",1,28317520862,"Maggie Pierce",Endocrinology,"Attending A"
70000115007,"Jody Shepherd",Endocrinology,"Attending B",2,14593704402,"Mark Sloan",Psychiatry,Director
70000108007,"Jody Yang",Neurology,"Attending B",1,25980378553,"Leah Murphy",Neurology,"Attending A"
70000108007,"Jody Yang",Neurology,"Attending B",2,84987658854,"Preston Burke",Radiology,Director
92351820356,"Juan Alvarez",Pediatrics,"Attending A",1,84987658854,"Preston Burke",Radiology,Director
70000106001,"Juan Grey",Oncology,Resident,1,54764787985,"Alex Karev",Oncology,Director
70000115009,"Juan Shepherd",Endocrinology,"Attending A",1,34202047459,"Owen Hunt",Endocrinology,Director
70000103006,"Jules Grey","General Surgery","Attending B",1,45068953259,"Taryn Helm","General Surgery","Attending A"
70000103006,"Jules Grey","General Surgery","Attending B",2,14593704402,"Mark Sloan",Psychiatry,Director
37518113010,"Jules Millin","Intensive Care","Attending B",1,97846728339,"Callie Torres",Gastroenterology,Director
70000114006,"Jules Shepherd",Pulmonology,"Attending B",1,81463743911,"Nathan Riggs",Pulmonology,"Attending A"
70000114006,"Jules Shepherd",Pulmonology,"Attending B",2,14593704402,"Mark Sloan",Psychiatry,Director
70000108000,"Jules Yang",Neurology,"Attending A",1,60884600851,"Izzie Stevens",Neurology,Director
58293833828,"Kai Bartley",Endocrinology,"Attending B",1,54764787985,"Alex Karev",Oncology,Director
70000104007,"Kai Grey","Intensive Care","Attending B",1,99873870754,"Teddy Altman","Intensive Care","Attending A"
70000104007,"Kai Grey","Intensive Care","Attending B",2,36172221786,"Derek Shepherd","General Surgery",Director
70000112009,"Kai Shepherd",Nephrology,"Attending B",1,11112294209,"Alexander Adams",Nephrology,"Attending A"
70000112009,"Kai Shepherd",Nephrology,"Attending B",2,43738332710,"Lexie Grey",Nephrology,Director
70000110009,"Kai Yang","Obstetrics and Gynecology","Attending A",1,51025702129,"Addison Montgomery","Obstetrics and Gynecology",Director
92903679846,"Lauren Boswell",Neurology,"Attending B",1,37295679827,"Arizona Robbins",Pulmonology,Director
70000104008,"Lauren Grey","Intensive Care","Attending A",1,68175080694,"Miranda Bailey","Intensive Care",Director
70000105004,"Lawrence Grey",Pediatrics,Resident,1,13733616459,"Richard Webber",Pediatrics,Director
69591437379,"Lawrence Kutner",Psychiatry,"Attending A",1,24330564473,"George O'Malley",Orthopedics,Director
70000102006,"Leah Grey",Cardiology,"Attending B",1,42337237532,"Martha Clark",Cardiology,"Attending A"
70000102006,"Leah Grey",Cardiology,"Attending B",2,20932266036,"Cristina Yang",Cardiology,Director
25980378553,"Leah Murphy",Neurology,"Attending A",1,84987658854,"Preston Burke",Radiology,Director
70000112010,"Leah Shepherd",Nephrology,"Attending A",1,43738332710,"Lexie Grey",Nephrology,Director
70000102012,"Levi Grey",Cardiology,"Attending A",1,20932266036,"Cristina Yang",Cardiology,Director
86281205445,"Levi Schmitt","Intensive Care","Attending A",1,34202047459,"Owen Hunt",Endocrinology,Director
70000109007,"Levi Yang",Radiology,"Attending B",1,55702582931,"Shane Ross",Radiology,"Attending A"
70000109007,"Levi Yang",Radiology,"Attending B",2,97846728339,"Callie Torres",Gastroenterology,Director
83427210938,"Liam Anderson","General Surgery","Attending A",1,36172221786,"Derek Shepherd","General Surgery",Director
70000105003,"Liam Grey",Pediatrics,Resident,1,13733616459,"Richard Webber",Pediatrics,Director
70000110008,"Liam Shepherd","Obstetrics and Gynecology","Attending A",1,51025702129,"Addison Montgomery","Obstetrics and Gynecology",Director
70000107012,"Liam Yang",Orthopedics,"Attending A",1,24330564473,"George O'Malley",Orthopedics,Director
18808114191,"Lisa Cuddy",Radiology,Resident,1,45068953259,"Taryn Helm","General Surgery","Attending A"
18808114191,"Lisa Cuddy",Radiology,Resident,2,14593704402,"Mark Sloan",Psychiatry,Director
70000105000,"Lisa Grey",Pediatrics,Resident,1,13733616459,"Richard Webber",Pediatrics,Director
70000115004,"Lisa Shepherd",Endocrinology,"Attending B",1,28317520862,"Maggie Pierce",Endocrinology,"Attending A"
70000115004,"Lisa Shepherd",Endocrinology,"Attending B",2,14593704402,"Mark Sloan",Psychiatry,Director
70000110001,"Lisa Yang","Obstetrics and Gynecology",Resident,1,77239597077,"Amelia Shepherd","Obstetrics and Gynecology","Attending A"
70000110001,"Lisa Yang","Obstetrics and Gynecology",Resident,2,34202047459,"Owen Hunt",Endocrinology,Director
70000106002,"Logan Grey",Oncology,Resident,1,54764787985,"Alex Karev",Oncology,Director
78086460793,"Logan Martin",Nephrology,"Attending A",1,43738332710,"Lexie Grey",Nephrology,Director
70000113002,"Logan Shepherd",Gastroenterology,Resident,1,97846728339,"Callie Torres",Gastroenterology,Director
42273054800,"Lucas Adams",Endocrinology,"Attending B",1,47544673531,"Meredith Grey","Emergency Medicine",Director
70000103004,"Lucas Grey","General Surgery",Resident,1,82681300933,"Atticus Lincoln","General Surgery","Attending A"
70000103004,"Lucas Grey","General Surgery",Resident,2,54764787985,"Alex Karev",Oncology,Director
70000114005,"Lucas Shepherd",Pulmonology,Resident,1,81463743911,"Nathan Riggs",Pulmonology,"Attending A"
70000114005,"Lucas Shepherd",Pulmonology,Resident,2,14593704402,"Mark Sloan",Psychiatry,Director
70000109009,"Lucas Yang",Radiology,"Attending B",1,68345352569,"Jo Wilson",Radiology,"Attending A"
70000109009,"Lucas Yang",Radiology,"Attending B",2,84987658854,"Preston Burke",Radiology,Director
70000102001,"Maggie Grey",Cardiology,Resident,1,42337237532,"Martha Clark",Cardiology,"Attending A"
70000102001,"Maggie Grey",Cardiology,Resident,2,20932266036,"Cristina Yang",Cardiology,Director
28317520862,"Maggie Pierce",Endocrinology,"Attending A",1,14593704402,"Mark Sloan",Psychiatry,Director
70000109002,"Maggie Yang",Radiology,Resident,1,55702582931,"Shane Ross",Radiology,"Attending A"
70000109002,"Maggie Yang",Radiology,Resident,2,97846728339,"Callie Torres",Gastroenterology,Director
70000101009,"Mark Grey","Emergency Medicine","Attending B",1,34169696708,"Carina DeLuca","Emergency Medicine","Attending A"
70000101009,"Mark Grey","Emergency Medicine","Attending B",2,37295679827,"Arizona Robbins",Pulmonology,Director
70000108002,"Mark Yang",Neurology,Resident,1,60884600851,"Izzie Stevens",Neurology,Director
42337237532,"Martha Clark",Cardiology,"Attending A",1,20932266036,"Cristina Yang",Cardiology,Director
70000105006,"Martha Grey",Pediatrics,"Attending B",1,13733616459,"Richard Webber",Pediatrics,Director
45425608546,"Martha Masters",Endocrinology,Resident,1,76612908200,"Andrew DeLuca",Orthopedics,"Attending A"
45425608546,"Martha Masters",Endocrinology,Resident,2,54764787985,"Alex Karev",Oncology,Director
70000110003,"Martha Yang","Obstetrics and Gynecology","Attending B",1,62878418842,"Cormac Hayes","Obstetrics and Gynecology","Attending A"
70000110003,"Martha Yang","Obstetrics and Gynecology","Attending B",2,24330564473,"George O'Malley",Orthopedics,Director
70000106010,"Mason Grey",Oncology,"Attending B",1,54764787985,"Alex Karev",Oncology,Director
70000114010,"Mason Shepherd",Pulmonology,"Attending B",1,81463743911,"Nathan Riggs",Pulmonology,"Attending A"
