hospitalization_year,patient_1_amka,patient_1_first_name,patient_1_last_name,patient_2_amka,patient_2_first_name,patient_2_last_name,common_total_days
2025,23601211074,Niki,Lauda,64929582276,Moana,Waialiki,20
2025,23601211074,Niki,Lauda,65749365017,George,Clooney,20
2025,23601211074,Niki,Lauda,86311337841,Tony,Stark,20
2025,58224487180,Luke,Skywalker,64929582276,Moana,Waialiki,20
2025,58224487180,Luke,Skywalker,65749365017,George,Clooney,20
2025,58224487180,Luke,Skywalker,86311337841,Tony,Stark,20
2025,64929582276,Moana,Waialiki,65749365017,George,Clooney,20
2025,64929582276,Moana,Waialiki,86311337841,Tony,Stark,20
2025,65749365017,George,Clooney,86311337841,Tony,Stark,20
2025,10197092148,Ayrton,Senna,29324360174,Steve,Rogers,19
2025,10197092148,Ayrton,Senna,51169712660,Dimitris,Diamantidis,19
2025,10197092148,Ayrton,Senna,59349941669,Wayne,Gretzky,19
2025,10197092148,Ayrton,Senna,70000400061,Red,Winslet,19
2025,29324360174,Steve,Rogers,51169712660,Dimitris,Diamantidis,19
2025,29324360174,Steve,Rogers,59349941669,Wayne,Gretzky,19
2025,29324360174,Steve,Rogers,70000400061,Red,Winslet,19
2025,51169712660,Dimitris,Diamantidis,59349941669,Wayne,Gretzky,19
2025,51169712660,Dimitris,Diamantidis,70000400061,Red,Winslet,19
2025,59349941669,Wayne,Gretzky,70000400061,Red,Winslet,19
2025,18711797819,Meryl,Streep,22057449253,Shaquille,ONeal,18
2025,18711797819,Meryl,Streep,33091720683,Cillian,Murphy,18
2025,18711797819,Meryl,Streep,49956316787,Alex,Morgan,18
2025,18711797819,Meryl,Streep,71141098220,Jennifer,Lawrence,18
2025,18711797819,Meryl,Streep,71453540792,Han,Solo,18
2025,22057449253,Shaquille,ONeal,33091720683,Cillian,Murphy,18
2025,22057449253,Shaquille,ONeal,49956316787,Alex,Morgan,18
2025,22057449253,Shaquille,ONeal,71141098220,Jennifer,Lawrence,18
2025,22057449253,Shaquille,ONeal,71453540792,Han,Solo,18
2025,33091720683,Cillian,Murphy,49956316787,Alex,Morgan,18
2025,33091720683,Cillian,Murphy,71141098220,Jennifer,Lawrence,18
2025,33091720683,Cillian,Murphy,71453540792,Han,Solo,18
2025,49956316787,Alex,Morgan,71141098220,Jennifer,Lawrence,18
2025,49956316787,Alex,Morgan,71453540792,Han,Solo,18
2025,71141098220,Jennifer,Lawrence,71453540792,Han,Solo,18
2025,24687043681,Magic,Johnson,31119316905,Giannis,Antetokounmpo,17
2025,24687043681,Magic,Johnson,33602494123,Matt,Damon,17
2025,24687043681,Magic,Johnson,47337496353,Joaquin,Phoenix,17
2025,24687043681,Magic,Johnson,58882934852,Erling,Haaland,17
2025,24687043681,Magic,Johnson,86884793866,Aragorn,Elessar,17
2025,24687043681,Magic,Johnson,87161783444,Zinedine,Zidane,17
2025,31119316905,Giannis,Antetokounmpo,33602494123,Matt,Damon,17
2025,31119316905,Giannis,Antetokounmpo,47337496353,Joaquin,Phoenix,17
2025,31119316905,Giannis,Antetokounmpo,58882934852,Erling,Haaland,17
2025,31119316905,Giannis,Antetokounmpo,86884793866,Aragorn,Elessar,17
2025,31119316905,Giannis,Antetokounmpo,87161783444,Zinedine,Zidane,17
2025,33602494123,Matt,Damon,47337496353,Joaquin,Phoenix,17
2025,33602494123,Matt,Damon,58882934852,Erling,Haaland,17
2025,33602494123,Matt,Damon,86884793866,Aragorn,Elessar,17
2025,33602494123,Matt,Damon,87161783444,Zinedine,Zidane,17
2025,47337496353,Joaquin,Phoenix,58882934852,Erling,Haaland,17
2025,47337496353,Joaquin,Phoenix,86884793866,Aragorn,Elessar,17
2025,47337496353,Joaquin,Phoenix,87161783444,Zinedine,Zidane,17
2025,58882934852,Erling,Haaland,86884793866,Aragorn,Elessar,17
2025,58882934852,Erling,Haaland,87161783444,Zinedine,Zidane,17
2025,86884793866,Aragorn,Elessar,87161783444,Zinedine,Zidane,17
2025,20183700303,Florence,Pugh,22097757183,Ilsa,Lund,16
2025,20183700303,Florence,Pugh,35394530005,Rafael,Leao,16
2025,20183700303,Florence,Pugh,38385446636,Simone,Manuel,16
2025,20183700303,Florence,Pugh,95083426571,Manny,Pacquiao,16
2025,20183700303,Florence,Pugh,97055051083,Mo,Farah,16
2025,22097757183,Ilsa,Lund,35394530005,Rafael,Leao,16
2025,22097757183,Ilsa,Lund,38385446636,Simone,Manuel,16
2025,22097757183,Ilsa,Lund,95083426571,Manny,Pacquiao,16
2025,22097757183,Ilsa,Lund,97055051083,Mo,Farah,16
2025,35394530005,Rafael,Leao,38385446636,Simone,Manuel,16
2025,35394530005,Rafael,Leao,95083426571,Manny,Pacquiao,16
2025,35394530005,Rafael,Leao,97055051083,Mo,Farah,16
2025,38385446636,Simone,Manuel,95083426571,Manny,Pacquiao,16
2025,38385446636,Simone,Manuel,97055051083,Mo,Farah,16
2025,95083426571,Manny,Pacquiao,97055051083,Mo,Farah,16
2026,71809450598,Clark,Kent,74465670003,Doc,Brown,26
2026,33339712953,Tom,Brady,40117547965,Matilda,Wormwood,20
2026,33339712953,Tom,Brady,83763714947,Maximus,Decimus,20
2026,40117547965,Matilda,Wormwood,83763714947,Maximus,Decimus,20
2026,21567103199,Lewis,Hamilton,71141098220,Jennifer,Lawrence,18
2026,21567103199,Lewis,Hamilton,80208563926,Shrek,Ogre,18
2026,21567103199,Lewis,Hamilton,86311337841,Tony,Stark,18
2026,71141098220,Jennifer,Lawrence,80208563926,Shrek,Ogre,18
2026,71141098220,Jennifer,Lawrence,86311337841,Tony,Stark,18
2026,80208563926,Shrek,Ogre,86311337841,Tony,Stark,18
2026,34261888918,Willy,Wonka,87161783444,Zinedine,Zidane,17
2026,30315842667,Diana,Prince,48851064499,Andy,Murray,16
